"Date","Price","Open","High","Low","Vol.","Change %"
"12/25/2019","8,916.4","8,725.3","8,980.1","8,725.3","1.52M","2.56%"
"12/24/2019","8,693.5","8,852.7","8,852.7","8,598.0","2.41M","1.87%"
"12/23/2019","8,534.3","8,534.3","8,566.1","8,438.7","705.51K","0.00%"
"12/20/2019","8,534.3","8,502.4","8,566.1","8,502.4","421.33K","0.00%"
"12/19/2019","8,534.3","8,406.9","8,566.1","8,343.2","662.29K","1.52%"
"12/18/2019","8,406.9","8,534.3","8,598.0","8,406.9","1.01M","-1.49%"
"12/17/2019","8,534.3","8,693.5","8,693.5","8,534.3","617.72K","-1.83%"
"12/16/2019","8,693.5","8,725.3","8,757.2","8,661.6","725.88K","-0.36%"
"12/13/2019","8,725.3","8,789.0","8,916.4","8,693.5","1.17M","0.00%"
"12/12/2019","8,725.3","8,566.1","8,757.2","8,566.1","2.21M","2.24%"
"12/11/2019","8,534.3","8,438.7","8,534.3","8,406.9","442.32K","1.13%"
"12/10/2019","8,438.7","8,598.0","8,598.0","8,438.7","674.75K","-1.49%"
"12/09/2019","8,566.1","8,502.4","8,598.0","8,470.6","882.34K","0.75%"
"12/06/2019","8,502.4","8,534.3","8,566.1","8,470.6","446.09K","-0.37%"
"12/05/2019","8,534.3","8,566.1","8,598.0","8,470.6","1.24M","0.38%"
"12/04/2019","8,502.4","8,375.0","8,502.4","8,247.7","596.70K","2.69%"
"12/03/2019","8,279.5","8,343.2","8,438.7","8,279.5","714.46K","-1.14%"
"12/02/2019","8,375.0","8,375.0","8,438.7","8,152.1","944.60K","0.38%"
"11/29/2019","8,343.2","8,438.7","8,438.7","8,311.4","356.77K","-0.76%"
"11/28/2019","8,406.9","8,406.9","8,470.6","8,311.4","863.67K","0.00%"
"11/27/2019","8,406.9","8,470.6","8,534.3","8,375.0","857.94K","0.00%"
"11/26/2019","8,406.9","8,311.4","8,566.1","8,311.4","913.18K","1.15%"
"11/25/2019","8,311.4","8,406.9","8,534.3","8,311.4","823.93K","0.00%"
"11/22/2019","8,311.4","8,598.0","8,661.6","8,279.5","1.04M","-3.33%"
"11/21/2019","8,598.0","8,693.5","8,725.3","8,598.0","766.42K","-0.73%"
"11/20/2019","8,661.6","8,820.9","8,820.9","8,661.6","382.82K","-0.73%"
"11/19/2019","8,725.3","8,661.6","8,757.2","8,629.8","616.85K","0.74%"
"11/18/2019","8,661.6","8,820.9","8,852.7","8,661.6","605.57K","-1.45%"
"11/15/2019","8,789.0","8,598.0","8,852.7","8,598.0","1.51M","2.22%"
"11/14/2019","8,598.0","8,693.5","8,693.5","8,598.0","454.08K","-0.73%"
"11/13/2019","8,661.6","8,693.5","8,852.7","8,661.6","754.97K","-0.37%"
"11/12/2019","8,693.5","8,534.3","8,820.9","8,534.3","1.69M","2.63%"
"11/11/2019","8,470.6","8,598.0","8,629.8","8,470.6","776.20K","-1.48%"
"11/08/2019","8,598.0","8,820.9","8,820.9","8,598.0","778.87K","-1.82%"
"11/07/2019","8,757.2","8,757.2","8,852.7","8,725.3","381.84K","-0.36%"
"11/06/2019","8,789.0","8,693.5","8,916.4","8,661.6","1.55M","1.10%"
"11/05/2019","8,693.5","8,757.2","8,789.0","8,693.5","958.08K","-0.73%"
"11/04/2019","8,757.2","8,566.1","8,789.0","8,566.1","1.46M","2.61%"
"11/01/2019","8,534.3","8,534.3","8,598.0","8,375.0","2.04M","0.00%"
"10/31/2019","8,534.3","8,852.7","8,852.7","8,534.3","2.30M","-3.60%"
"10/30/2019","8,852.7","8,789.0","8,980.1","8,725.3","837.98K","0.72%"
"10/29/2019","8,789.0","9,043.8","9,043.8","8,789.0","1.73M","-2.82%"
"10/28/2019","9,043.8","9,171.2","9,234.8","9,043.8","717.04K","-1.39%"
"10/25/2019","9,171.2","9,107.5","9,171.2","9,075.6","445.24K","0.70%"
"10/24/2019","9,107.5","9,011.9","9,171.2","9,011.9","1.21M","1.42%"
"10/23/2019","8,980.1","8,948.2","9,043.8","8,948.2","639.22K","0.36%"
"10/22/2019","8,948.2","8,916.4","9,043.8","8,884.6","804.02K","0.36%"
"10/21/2019","8,916.4","9,075.6","9,075.6","8,852.7","1.98M","-1.06%"
"10/18/2019","9,011.9","9,075.6","9,139.3","9,011.9","1.50M","-0.70%"
"10/17/2019","9,075.6","9,266.7","9,266.7","9,075.6","1.82M","-2.06%"
"10/16/2019","9,266.7","9,362.2","9,394.1","9,266.7","1.08M","-0.68%"
