Date,Price,Open,High,Low,Vol.,Change %
5/11/2020,"8,869.60","8,687.00","8,913.00","8,626.10",3.69M,4.30%
5/8/2020,"8,504.30","8,504.30","8,869.60","8,452.20",4.34M,0.62%
5/7/2020,"8,452.20","8,347.80","8,513.00","8,321.70",2.55M,2.32%
5/6/2020,"8,260.90","8,173.90","8,330.40","8,139.10",2.23M,1.06%
5/5/2020,"8,173.90","8,173.90","8,260.90","7,965.20",2.78M,0.54%
5/4/2020,"8,130.40","8,391.30","8,391.30","8,130.40",3.95M,-5.46%
4/29/2020,"8,600.00","8,695.60","8,739.10","8,452.20",1.96M,-0.70%
4/28/2020,"8,660.90","8,539.10","8,826.10","8,469.60",3.72M,2.26%
4/27/2020,"8,469.60","8,382.60","8,547.80","8,304.30",3.96M,1.88%
4/24/2020,"8,313.00","8,313.00","8,434.80","8,173.90",2.38M,0.00%
4/23/2020,"8,313.00","8,695.60","8,826.10","8,313.00",3.64M,-1.85%
4/22/2020,"8,469.60","8,130.40","8,652.20","8,052.20",3.47M,-0.81%
4/21/2020,"8,539.10","8,869.60","9,260.90","8,539.10",7.57M,-6.92%
4/20/2020,"9,173.90","8,956.50","9,173.90","8,826.10",6.73M,6.67%
4/17/2020,"8,600.00","8,173.90","8,600.00","8,069.60",6.47M,6.92%
4/16/2020,"8,043.50","8,173.90","8,173.90","7,921.70",5.51M,-1.60%
4/15/2020,"8,173.90","7,843.50","8,217.40","7,826.10",5.10M,5.03%
4/14/2020,"7,782.60","7,869.60","7,982.60","7,547.80",2.03M,-1.11%
4/13/2020,"7,869.60","7,834.80","8,043.50","7,826.10",1.52M,0.11%
4/10/2020,"7,860.90","7,869.60","8,095.70","7,852.20",1.76M,-1.42%
4/9/2020,"7,973.90","8,173.90","8,260.90","7,947.80",2.81M,0.77%
4/8/2020,"7,913.00","7,304.30","8,000.00","7,147.80",1.65M,4.24%
4/7/2020,"7,591.30","7,739.10","7,913.00","7,478.30",2.62M,-1.80%
4/6/2020,"7,730.40","7,695.70","7,730.40","7,252.20",2.85M,6.98%
4/3/2020,"7,226.10","7,000.00","7,226.10","6,956.50",1.86M,6.95%
4/1/2020,"6,756.50","6,269.60","6,947.80","6,269.60",2.77M,0.26%
3/31/2020,"6,739.10","6,869.60","7,243.50","6,739.10",4.36M,-6.96%
3/30/2020,"7,243.50","7,417.40","7,478.30","7,243.50",494.48K,-6.93%
3/27/2020,"7,782.60","8,173.90","8,260.90","7,773.90",2.26M,-4.79%
3/26/2020,"8,173.90","8,434.80","8,434.80","8,130.40",1.08M,-4.08%
3/25/2020,"8,521.70","8,521.70","8,565.20","8,347.80",1.48M,4.14%
3/24/2020,"8,182.60","8,347.80","8,460.90","8,043.50",1.76M,-3.19%
3/23/2020,"8,452.20","8,782.60","8,782.60","8,452.20",4.18M,-6.99%
3/20/2020,"9,087.00","9,173.90","9,260.90","8,913.00",1.38M,-1.88%
3/19/2020,"9,260.90","9,304.30","9,304.30","8,956.50",2.49M,-2.29%
3/18/2020,"9,478.30","9,826.10","9,826.10","9,347.80",1.72M,-1.80%
3/17/2020,"9,652.20","8,826.10","9,695.60","8,782.60",1.73M,4.23%
3/16/2020,"9,260.90","9,565.20","9,739.10","9,000.00",1.90M,-3.18%
3/13/2020,"9,565.20","8,913.00","9,652.20","8,913.00",3.97M,0.00%
3/12/2020,"9,565.20","9,565.20","9,739.10","9,565.20",4.45M,-6.78%
3/11/2020,"10,260.90","11,043.50","11,130.40","10,217.40",4.63M,-6.35%
3/10/2020,"10,956.50","10,652.20","11,173.90","10,434.80",2.88M,-1.18%
3/9/2020,"11,087.00","11,130.40","11,478.30","11,087.00",4.31M,-6.93%
3/6/2020,"11,913.00","11,043.50","11,913.00","10,956.50",5.55M,6.61%
3/5/2020,"11,173.90","11,478.30","11,565.20","11,173.90",1.91M,-0.77%
3/4/2020,"11,260.90","10,782.60","11,391.30","10,739.10",3.96M,3.60%
3/3/2020,"10,869.60","10,521.70","10,869.60","10,391.30",2.26M,5.49%
3/2/2020,"10,304.30","10,434.80","10,434.80","10,260.90",1.05M,0.00%
2/28/2020,"10,304.30","10,304.30","10,478.30","10,260.90",1.32M,-2.87%
2/27/2020,"10,608.70","10,347.80","10,652.20","10,217.40",1.75M,1.67%
2/26/2020,"10,434.80","10,260.90","10,608.70","10,260.90",1.45M,-0.83%
2/25/2020,"10,521.70","9,826.10","10,608.70","9,826.10",1.82M,2.11%
2/24/2020,"10,304.30","10,347.80","10,739.10","10,304.30",2.71M,-6.69%
2/21/2020,"11,043.50","10,782.60","11,217.40","10,782.60",2.06M,2.42%
2/20/2020,"10,782.60","10,869.60","10,913.00","10,652.20",1.51M,0.81%
2/19/2020,"10,695.60","11,000.00","11,043.50","10,652.20",1.47M,-3.15%
2/18/2020,"11,043.50","11,087.00","11,260.90","10,739.10",1.41M,-0.39%
2/17/2020,"11,087.00","11,304.30","11,434.80","11,043.50",1.27M,-2.30%
2/14/2020,"11,347.80","11,000.00","11,478.30","10,956.50",1.88M,2.76%
2/13/2020,"11,043.50","11,130.40","11,130.40","10,826.10",1.50M,-0.78%
2/12/2020,"11,130.40","11,043.50","11,217.40","10,869.60",2.48M,1.19%
